,,Mean_Reversion_5Day_Sector_Neutral_Smoothed
2014-01-03 00:00:00+00:00,Equity(0 [A]),0.9797958971132712
2014-01-03 00:00:00+00:00,Equity(1 [AAL]),1.7146428199482247
2014-01-03 00:00:00+00:00,Equity(3 [AAPL]),0.9098104758908947
2014-01-03 00:00:00+00:00,Equity(4 [ABBV]),0.944803186502083
2014-01-03 00:00:00+00:00,Equity(6 [ABT]),0.7698396334461417
2014-01-03 00:00:00+00:00,Equity(7 [ACN]),-0.5598833697790121
2014-01-03 00:00:00+00:00,Equity(8 [ADBE]),0.7348469228349535
2014-01-03 00:00:00+00:00,Equity(19 [AGN]),-0.1749635530559413
2014-01-03 00:00:00+00:00,Equity(20 [AIG]),1.0147886077244594
2014-01-03 00:00:00+00:00,Equity(35 [AMGN]),-1.0147886077244594
2014-01-03 00:00:00+00:00,Equity(37 [AMT]),-0.10497813183356478
2014-01-03 00:00:00+00:00,Equity(38 [AMZN]),1.0497813183356477
2014-01-03 00:00:00+00:00,Equity(44 [APA]),1.3647157138363422
2014-01-03 00:00:00+00:00,Equity(45 [APC]),0.3149343955006943
2014-01-03 00:00:00+00:00,Equity(55 [AXP]),-1.3997084244475304
2014-01-03 00:00:00+00:00,Equity(58 [BA]),0.4898979485566356
2014-01-03 00:00:00+00:00,Equity(59 [BAC]),0.8748177652797064
2014-01-03 00:00:00+00:00,Equity(66 [BIIB]),1.4347011350587187
2014-01-03 00:00:00+00:00,Equity(70 [BMY]),1.5046865562810952
2014-01-03 00:00:00+00:00,Equity(74 [C]),1.1547594501692124
2014-01-03 00:00:00+00:00,Equity(78 [CAT]),-0.8748177652797064
2014-01-03 00:00:00+00:00,Equity(82 [CBS]),-1.5746719775034717
2014-01-03 00:00:00+00:00,Equity(85 [CELG]),-0.7698396334461417
2014-01-03 00:00:00+00:00,Equity(90 [CHK]),1.2947302926139654
2014-01-03 00:00:00+00:00,Equity(98 [CMCSA]),-0.6648615016125768
2014-01-03 00:00:00+00:00,Equity(109 [COP]),0.4199125273342591
2014-01-03 00:00:00+00:00,Equity(113 [CRM]),-0.5948760803902003
2014-01-03 00:00:00+00:00,Equity(114 [CSCO]),-1.6446573987258482
2014-01-03 00:00:00+00:00,Equity(121 [CVS]),-0.38491981672307085
2014-01-03 00:00:00+00:00,Equity(122 [CVX]),-0.06998542122237651
2014-01-03 00:00:00+00:00,Equity(124 [D]),0.10497813183356478
2014-01-03 00:00:00+00:00,Equity(125 [DAL]),1.3997084244475304
2014-01-03 00:00:00+00:00,Equity(126 [DE]),-0.9797958971132712
2014-01-03 00:00:00+00:00,Equity(132 [DIS]),-1.6796501093370364
2014-01-03 00:00:00+00:00,Equity(147 [EBAY]),1.224744871391589
2014-01-03 00:00:00+00:00,Equity(155 [EOG]),1.2597375820027772
2014-01-03 00:00:00+00:00,Equity(160 [ESRX]),-0.8398250546685182
2014-01-03 00:00:00+00:00,Equity(173 [FB]),1.3297230032251537
2014-01-03 00:00:00+00:00,Equity(175 [FCX]),-1.60966468811466
2014-01-03 00:00:00+00:00,Equity(176 [FDX]),-0.4199125273342591
2014-01-03 00:00:00+00:00,Equity(188 [FOXA]),
2014-01-03 00:00:00+00:00,Equity(192 [GE]),-1.1547594501692124
2014-01-03 00:00:00+00:00,Equity(194 [GILD]),0.3499271061118826
