,,Mean_Reversion_5Day_Sector_Neutral
2014-01-07 00:00:00+00:00,Equity(124 [D]),-0.20995626366712955
2014-01-07 00:00:00+00:00,Equity(125 [DAL]),-1.6446573987258482
2014-01-07 00:00:00+00:00,Equity(126 [DE]),1.0497813183356477
2014-01-07 00:00:00+00:00,Equity(132 [DIS]),-0.944803186502083
2014-01-07 00:00:00+00:00,Equity(147 [EBAY]),1.469693845669907
2014-01-07 00:00:00+00:00,Equity(155 [EOG]),0.8398250546685182
2014-01-07 00:00:00+00:00,Equity(160 [ESRX]),-0.5248906591678238
2014-01-07 00:00:00+00:00,Equity(173 [FB]),-1.6796501093370364
2014-01-07 00:00:00+00:00,Equity(175 [FCX]),1.084774028946836
2014-01-07 00:00:00+00:00,Equity(176 [FDX]),1.6796501093370364
2014-01-07 00:00:00+00:00,Equity(188 [FOXA]),
2014-01-07 00:00:00+00:00,Equity(192 [GE]),1.5396792668922834
2014-01-07 00:00:00+00:00,Equity(194 [GILD]),0.944803186502083
2014-01-07 00:00:00+00:00,Equity(199 [GOOGL]),-1.1897521607804007
2014-01-07 00:00:00+00:00,Equity(204 [GS]),-0.6998542122237652
2014-01-07 00:00:00+00:00,Equity(207 [HAL]),-0.5948760803902003
2014-01-07 00:00:00+00:00,Equity(214 [HD]),-0.4199125273342591
2014-01-07 00:00:00+00:00,Equity(231 [IBM]),-0.8398250546685182
2014-01-07 00:00:00+00:00,Equity(238 [INTC]),0.1749635530559413
2014-01-07 00:00:00+00:00,Equity(244 [ISRG]),1.2597375820027772
2014-01-07 00:00:00+00:00,Equity(251 [JNJ]),-0.9797958971132712
2014-01-07 00:00:00+00:00,Equity(253 [JPM]),-1.0147886077244594
2014-01-07 00:00:00+00:00,Equity(263 [KO]),0.45490523794544735
2014-01-07 00:00:00+00:00,Equity(264 [KORS]),-1.5046865562810952
2014-01-07 00:00:00+00:00,Equity(275 [LLY]),-1.1547594501692124
2014-01-07 00:00:00+00:00,Equity(279 [LOW]),0.20995626366712955
2014-01-07 00:00:00+00:00,Equity(284 [LYB]),1.1197667395580242
2014-01-07 00:00:00+00:00,Equity(292 [MCD]),-0.38491981672307085
2014-01-07 00:00:00+00:00,Equity(294 [MCK]),-0.7348469228349535
2014-01-07 00:00:00+00:00,Equity(296 [MDLZ]),0.13997084244475302
2014-01-07 00:00:00+00:00,Equity(297 [MDT]),-1.5396792668922834
2014-01-07 00:00:00+00:00,Equity(298 [MET]),0.7698396334461417
2014-01-07 00:00:00+00:00,Equity(305 [MO]),0.9098104758908947
2014-01-07 00:00:00+00:00,Equity(306 [MON]),-0.06998542122237651
2014-01-07 00:00:00+00:00,Equity(307 [MOS]),0.6648615016125768
2014-01-07 00:00:00+00:00,Equity(308 [MPC]),-0.9098104758908947
2014-01-07 00:00:00+00:00,Equity(309 [MRK]),-0.6298687910013886
2014-01-07 00:00:00+00:00,Equity(312 [MSFT]),1.224744871391589
2014-01-07 00:00:00+00:00,Equity(316 [MU]),1.1897521607804007
2014-01-07 00:00:00+00:00,Equity(322 [NEM]),-1.5746719775034717
2014-01-07 00:00:00+00:00,Equity(323 [NFLX]),0.27994168488950605
2014-01-07 00:00:00+00:00,Equity(326 [NKE]),-0.0
2014-01-07 00:00:00+00:00,Equity(329 [NOV]),-1.224744871391589
2014-01-07 00:00:00+00:00,Equity(339 [O]),-0.2449489742783178
2014-01-07 00:00:00+00:00,Equity(342 [ORCL]),-0.13997084244475302
2014-01-07 00:00:00+00:00,Equity(344 [OXY]),-0.10497813183356478
2014-01-07 00:00:00+00:00,Equity(351 [PEP]),-0.6648615016125768
2014-01-07 00:00:00+00:00,Equity(352 [PFE]),-0.4898979485566356
2014-01-07 00:00:00+00:00,Equity(361 [PM]),0.38491981672307085
2014-01-07 00:00:00+00:00,Equity(374 [PXD]),1.60966468811466
2014-01-07 00:00:00+00:00,Equity(376 [QCOM]),0.034992710611188256
2014-01-07 00:00:00+00:00,Equity(381 [REGN]),1.3297230032251537
2014-01-07 00:00:00+00:00,Equity(395 [SBUX]),0.9797958971132712
2014-01-07 00:00:00+00:00,Equity(402 [SLB]),0.3149343955006943
2014-01-07 00:00:00+00:00,Equity(422 [T]),-1.4347011350587187
2014-01-07 00:00:00+00:00,Equity(426 [TGT]),-1.2947302926139654
2014-01-07 00:00:00+00:00,Equity(437 [TWX]),0.4199125273342591
2014-01-07 00:00:00+00:00,Equity(438 [TXN]),0.7348469228349535
2014-01-07 00:00:00+00:00,Equity(445 [UNH]),-0.3499271061118826
2014-01-07 00:00:00+00:00,Equity(447 [UNP]),0.6998542122237652
2014-01-07 00:00:00+00:00,Equity(448 [UPS]),1.6446573987258482
2014-01-07 00:00:00+00:00,Equity(450 [USB]),0.3499271061118826
2014-01-07 00:00:00+00:00,Equity(451 [UTX]),0.2449489742783178
2014-01-07 00:00:00+00:00,Equity(452 [V]),1.1547594501692124
2014-01-07 00:00:00+00:00,Equity(455 [VIAB]),-0.034992710611188256
2014-01-07 00:00:00+00:00,Equity(456 [VLO]),-1.469693845669907
2014-01-07 00:00:00+00:00,Equity(465 [WBA]),-0.27994168488950605
2014-01-07 00:00:00+00:00,Equity(468 [WFC]),1.0147886077244594
2014-01-07 00:00:00+00:00,Equity(473 [WMT]),-0.80483234405733
2014-01-07 00:00:00+00:00,Equity(483 [XOM]),-0.1749635530559413
2014-01-08 00:00:00+00:00,Equity(0 [A]),-1.469693845669907
2014-01-08 00:00:00+00:00,Equity(1 [AAL]),-1.6796501093370364
2014-01-08 00:00:00+00:00,Equity(3 [AAPL]),1.60966468811466
2014-01-08 00:00:00+00:00,Equity(4 [ABBV]),1.6796501093370364
2014-01-08 00:00:00+00:00,Equity(6 [ABT]),-1.0497813183356477
